"hour_bucket","rain_hourly","vwc_hourly","temp_hourly","rh_hourly"
2025-03-31 05:00:00,1.778,0.3615,62.9825,88.275
2025-03-31 06:00:00,0,0.37325,62.0625,89.525
2025-03-31 07:00:00,0.254,0.37,62.2425,90.375
2025-03-31 08:00:00,0,0.36825,61.6775,90.975
2025-03-31 09:00:00,0,0.36675,54.9075,91.2
2025-03-31 10:00:00,0,0.364,51.945,91.275
2025-03-31 11:00:00,0,0.36125,51.2825,90.45
2025-03-31 12:00:00,0,0.35975,51.415,89.6
2025-03-31 13:00:00,0,0.3595,50.695,88.9
2025-03-31 14:00:00,0,0.358,50.79,87.275
2025-03-31 15:00:00,0,0.35575,51.1825,84.725
2025-03-31 16:00:00,0,0.3535,51.7325,81.55
2025-03-31 17:00:00,0,0.35275,52.5,78.095
2025-03-31 18:00:00,0,0.3515,51.35,75.2075
2025-03-31 19:00:00,0,0.35025,48.7525,74.24
2025-03-31 20:00:00,0,0.348,46.815,74.5675
2025-03-31 21:00:00,0,0.34725,46.2475,74.34
2025-03-31 22:00:00,0,0.346,45.955,73.4775
2025-03-31 23:00:00,0,0.3455,45.67,73.4225
2025-04-01,0,0.3445,45.3925,73.8525
2025-04-01 01:00:00,0,0.3435,45.01,74.0775
2025-04-01 02:00:00,0,0.34175,44.9075,74.2975
2025-04-01 03:00:00,0,0.34125,45.0825,74.335
2025-04-01 04:00:00,0,0.34025,45.2675,74.085
2025-04-01 05:00:00,0,0.33975,45.3525,74.085
2025-04-01 06:00:00,0,0.3395,45.1925,73.7925
2025-04-01 07:00:00,0,0.339,45.0225,73.285
2025-04-01 08:00:00,0,0.3385,46.26,72.3875
2025-04-01 09:00:00,0,0.33825,48.5625,70.86
2025-04-01 10:00:00,0,0.33775,52.0675,67.7375
2025-04-01 11:00:00,0,0.337,54.7175,63.96
2025-04-01 12:00:00,0,0.33575,57.5725,61.105
2025-04-01 13:00:00,0,0.33425,60.3025,57.8925
2025-04-01 14:00:00,0,0.33275,62.295,54.7225
2025-04-01 15:00:00,0,0.33125,64.005,51.375
2025-04-01 16:00:00,0,0.3295,65.595,48.7625
2025-04-01 17:00:00,0,0.32875,66.45,46.715
2025-04-01 18:00:00,0,0.32875,66.8,46.67
2025-04-01 19:00:00,0,0.326,65.3575,48.5875
2025-04-01 20:00:00,0,0.3245,63.3975,51.9725
2025-04-01 21:00:00,0,0.324,61.815,54.8575
2025-04-01 22:00:00,0,0.32275,60.3375,57.6325
2025-04-01 23:00:00,0,0.32275,59.64,59.9275
2025-04-02,0,0.32225,59.855,59.995
2025-04-02 01:00:00,0,0.3215,60.69,58.545
2025-04-02 02:00:00,0,0.322,60.84,58.2175
2025-04-02 03:00:00,0,0.32175,63,59.2275
2025-04-02 04:00:00,0,0.321,66.6,60.5225
2025-04-02 05:00:00,0,0.321,67.565,65.3975
2025-04-02 06:00:00,0,0.3205,68.87,70.5025
2025-04-02 07:00:00,0,0.32,69.4975,73.53
2025-04-02 08:00:00,0,0.31975,71.225,74.27
2025-04-02 09:00:00,0,0.319,73.9575,73.135
2025-04-02 10:00:00,0,0.31825,74.5275,72.9025
2025-04-02 11:00:00,0,0.31775,76.8975,71.2975
2025-04-02 12:00:00,0,0.31675,78.765,68.4
2025-04-02 13:00:00,0,0.315,81.125,64.645
2025-04-02 14:00:00,0,0.3135,82.025,61.665
2025-04-02 15:00:00,0,0.31075,82.525,59.745
2025-04-02 16:00:00,0,0.30975,82.825,58.72
2025-04-02 17:00:00,0,0.308,83.65,57.0225
2025-04-02 18:00:00,0,0.30675,82.25,57.7425
2025-04-02 19:00:00,0,0.305,79.74,61.725
2025-04-02 20:00:00,0,0.3035,79.775,62.1875
2025-04-02 21:00:00,0,0.30275,80.55,60.0375
2025-04-02 22:00:00,0,0.302,80.8,58.25
2025-04-02 23:00:00,0,0.30125,80.675,57.4875
2025-04-03,0,0.3005,79.83,58.8875
2025-04-03 01:00:00,0,0.30025,78.2575,61.845
2025-04-03 02:00:00,0,0.29975,70.0225,72.8725
2025-04-03 03:00:00,18.542,0.369,67.225,80.9975
2025-04-03 04:00:00,30.734,0.4175,65.6275,85.65
2025-04-03 05:00:00,3.556,0.404,64.9925,88.125
2025-04-03 06:00:00,4.318,0.4005,64.7325,89.45
2025-04-03 07:00:00,22.356,0.41275,64.6325,90.55
2025-04-03 08:00:00,12.446,0.41625,64.595,91.35
2025-04-03 09:00:00,12.954,0.4205,64.7725,91.975
2025-04-03 10:00:00,0,0.39975,67.1675,92.075
2025-04-03 11:00:00,0,0.39225,68.4875,91.35
2025-04-03 12:00:00,0,0.389,69.46,91
2025-04-03 13:00:00,0.254,0.38675,70.3825,89.625
2025-04-03 14:00:00,0,0.38525,65.265,89.275
2025-04-03 15:00:00,0,0.383,63.455,88.225
2025-04-03 16:00:00,0.254,0.38275,62.4375,88.55
2025-04-03 17:00:00,0,0.38375,61.73,89.55
2025-04-03 18:00:00,0.254,0.38325,61.5775,90.35
2025-04-03 19:00:00,6.858,0.40875,61.4275,91.325
2025-04-03 20:00:00,0,0.40025,61.3425,92.25
2025-04-03 21:00:00,0,0.393,61.5,92.775
2025-04-03 22:00:00,0,0.389,61.5675,93.225
2025-04-03 23:00:00,0,0.38675,61.76,93.45
2025-04-04,0,0.38475,60.65,93.45
2025-04-04 01:00:00,0,0.38225,58.205,93.35
2025-04-04 02:00:00,0,0.382,57.91,93.125
2025-04-04 03:00:00,0,0.381,57.53,92.975
2025-04-04 04:00:00,0,0.38,57.8225,93.125
2025-04-04 05:00:00,0,0.37925,58.5925,93.275
2025-04-04 06:00:00,0,0.37975,59.485,93.3
